split,max_bridge,n_targets,selected_dice,oracle_dice,oracle_gap,selection_accuracy,spearman_score_dice,dominated_candidate_robustness,duplicate_robustness,selected_route_counts
train,2,100,0.7966198633773467,0.8303614587474476,0.033741595370100866,0.43,0.31763935276765853,1.0,1.0,"{""bridge_1"": 1, ""bridge_2"": 97, ""direct"": 2}"
train,3,100,0.7976375088755212,0.8376410947497309,0.04000358587420976,0.35,0.31787442270286437,1.0,1.0,"{""bridge_2"": 2, ""bridge_3"": 96, ""direct"": 2}"
eval,2,100,0.8251398603227732,0.8563108878453634,0.031171027522590152,0.47,0.3263692677114649,1.0,1.0,"{""bridge_2"": 98, ""direct"": 2}"
eval,3,100,0.8506103214688829,0.8775495864605594,0.026939264991676454,0.37,0.3336613533884549,1.0,1.0,"{""bridge_2"": 4, ""bridge_3"": 95, ""direct"": 1}"
eval,4,100,0.8472490564345112,0.8869493075055154,0.03970025107100412,0.23,0.33843824212833323,1.0,1.0,"{""bridge_2"": 3, ""bridge_3"": 1, ""bridge_4"": 95, ""direct"": 1}"
eval,5,100,0.8468075014290002,0.8876531518557852,0.04084565042678492,0.15,0.33597355373769133,1.0,1.0,"{""bridge_2"": 3, ""bridge_3"": 1, ""bridge_5"": 95, ""direct"": 1}"
eval,6,100,0.8511702041968308,0.8879148021985006,0.036744598001669855,0.14,0.3313014088448831,1.0,1.0,"{""bridge_2"": 1, ""bridge_5"": 1, ""bridge_6"": 97, ""direct"": 1}"
eval,7,100,0.8515967328712339,0.8879970678100453,0.03640033493881134,0.15,0.5325534585149309,1.0,1.0,"{""bridge_2"": 1, ""bridge_5"": 1, ""bridge_6"": 87, ""bridge_7"": 10, ""direct"": 1}"
