split,max_bridge,n_targets,selected_dice,oracle_dice,oracle_gap,selection_accuracy,spearman_score_dice,dominated_candidate_robustness,duplicate_robustness,selected_route_counts
train,2,100,0.7687378590614745,0.8231433505027066,0.0544054914412321,0.29,0.18669495864834718,1.0,1.0,"{""bridge_1"": 58, ""bridge_2"": 27, ""direct"": 15}"
train,3,100,0.7636606716820862,0.8295918968056494,0.06593122512356317,0.22,0.19066308063220208,1.0,1.0,"{""bridge_1"": 57, ""bridge_2"": 25, ""bridge_3"": 4, ""direct"": 14}"
eval,2,100,0.7673322203549964,0.8380023861957828,0.07067016584078643,0.31,0.145458708811388,1.0,1.0,"{""bridge_1"": 60, ""bridge_2"": 20, ""direct"": 20}"
eval,3,100,0.766381941407748,0.85653712373974,0.09015518233199202,0.21,0.1154191783628401,1.0,1.0,"{""bridge_1"": 59, ""bridge_2"": 16, ""bridge_3"": 6, ""direct"": 19}"
eval,4,100,0.7663824033229464,0.8600047734871338,0.09362237016418731,0.15,0.10813699904567382,1.0,1.0,"{""bridge_1"": 58, ""bridge_2"": 16, ""bridge_3"": 6, ""bridge_4"": 1, ""direct"": 19}"
eval,5,100,0.7757561460091604,0.8866746613221563,0.11091851531299596,0.13,0.0821723986117181,1.0,1.0,"{""bridge_1"": 57, ""bridge_2"": 16, ""bridge_3"": 6, ""bridge_4"": 1, ""bridge_5"": 1, ""direct"": 19}"
eval,6,100,0.7757561460091604,0.8892920971505948,0.1135359511414343,0.12,0.06414300342786021,1.0,1.0,"{""bridge_1"": 57, ""bridge_2"": 16, ""bridge_3"": 6, ""bridge_4"": 1, ""bridge_5"": 1, ""direct"": 19}"
eval,7,100,0.7757561460091604,0.8893423018835743,0.11358615587441392,0.11,0.33477607604770626,1.0,1.0,"{""bridge_1"": 57, ""bridge_2"": 16, ""bridge_3"": 6, ""bridge_4"": 1, ""bridge_5"": 1, ""direct"": 19}"
