path,kind,metric_key,metric_type,metric_value
work/isic18_1pct_protocol/synfoc/protocol.json,baseline,model,str,MedSAM
work/isic18_1pct_protocol/synfoc/protocol.json,baseline,max_iterations,int,40000
work/isic18_1pct_protocol/synfoc/protocol.json,baseline,num_eval_iter,int,500
work/isic18_1pct_protocol/synfoc/protocol.json,baseline,image_size,int,256
work/isic18_1pct_protocol/synfoc/summary.json,baseline,best_validation.unet_dice,float,0.8540554553304895
work/isic18_1pct_protocol/synfoc/summary.json,baseline,best_validation.unet_iteration,int,32000
work/isic18_1pct_protocol/synfoc/summary.json,baseline,best_validation.sam_dice,float,0.8814066220867678
work/isic18_1pct_protocol/synfoc/summary.json,baseline,best_validation.sam_iteration,int,27500
work/isic18_1pct_protocol/synfoc/summary.json,baseline,test.images,int,260
work/isic18_1pct_protocol/synfoc/summary.json,baseline,test.unet_dice,float,0.8413850904851117
work/isic18_1pct_protocol/synfoc/summary.json,baseline,test.sam_dice,float,0.8733601769570983
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,data_path,str,work/isic18_1pct_protocol/data
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,labeled_list,str,work/isic18_pseudovideo_full/protocol/frozen_labeled_images.txt
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,pseudo_manifest,str,work/isic18_pseudovideo_full/pseudo1522/protocol/pseudo_train_tau_m090_r095.jsonl
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,output_dir,str,work/isic18_pseudovideo_full/committee_students/S2_final
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,experiment,str,S2
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,seed,int,2026
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,num_classes,int,2
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,in_channels,int,3
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,image_size,int,256
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,batch_size,int,12
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,labeled_bs,int,6
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,UNet_lr,float,0.01
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,max_iterations,int,40000
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,val_interval,int,200
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,lambda_pseudo,float,0.5
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,pseudo_ramp_iterations,int,2000
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,num_workers,int,4
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,labeled_count,int,21
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,pseudo_count,int,974
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,checkpoint_rule,str,validate every val_interval; overwrite student_best.pth only when validation Dice improves; test exactly once after training using best
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,entropy_weight,float,0.0
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,pseudo_as_anchor,bool,false
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,pseudo_weight_mode,str,normalized_q_multi
work/isic18_pseudovideo_full/committee_students/S2_final/protocol.json,protocol_or_split,quality_normalization,str,"fixed over accepted pseudo labels; clip to [0.2,1.0]"
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,iteration,int,16800
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,validation.count,int,259
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,validation.dice,float,0.8547567576270142
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,validation.iou,float,0.7776148787982574
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,validation.nonempty_rate,float,0.9961389961389961
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,validation.mean_area,float,0.18352305290781853
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,validation.by_dataset.ISIC18.count,int,259
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,validation.by_dataset.ISIC18.dice,float,0.8547567576270142
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,validation.by_dataset.ISIC18.iou,float,0.7776148787982574
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,validation.by_dataset.ISIC18.nonempty_rate,float,0.9961389961389961
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,validation.by_dataset.ISIC18.mean_area,float,0.18352305290781853
work/isic18_pseudovideo_full/committee_students/S2_final/student_best.json,artifact,selection_uses_test_gt,bool,false
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,final_iteration,int,40000
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_iteration,int,16800
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation_dice,float,0.8547567576270142
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation.count,int,259
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation.dice,float,0.8547567576270142
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation.iou,float,0.7776148787982574
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation.nonempty_rate,float,0.9961389961389961
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation.mean_area,float,0.18352305290781853
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation.by_dataset.ISIC18.count,int,259
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation.by_dataset.ISIC18.dice,float,0.8547567576270142
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation.by_dataset.ISIC18.iou,float,0.7776148787982574
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation.by_dataset.ISIC18.nonempty_rate,float,0.9961389961389961
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,best_validation.by_dataset.ISIC18.mean_area,float,0.18352305290781853
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test.count,int,260
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test.dice,float,0.8462784717006769
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test.iou,float,0.762397627512938
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test.nonempty_rate,float,0.9961538461538462
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test.mean_area,float,0.17170721200796274
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test.by_dataset.ISIC18.count,int,260
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test.by_dataset.ISIC18.dice,float,0.8462784717006769
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test.by_dataset.ISIC18.iou,float,0.762397627512938
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test.by_dataset.ISIC18.nonempty_rate,float,0.9961538461538462
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test.by_dataset.ISIC18.mean_area,float,0.17170721200796274
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,checkpoint,str,work/isic18_pseudovideo_full/committee_students/S2_final/student_best.pth
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,final_checkpoint,str,work/isic18_pseudovideo_full/committee_students/S2_final/student_final.pth
work/isic18_pseudovideo_full/committee_students/S2_final/summary.json,artifact,test_evaluations_during_training,int,0
work/isic18_pseudovideo_full/protocol/protocol_summary.json,protocol_or_split,counts.test,int,260
work/isic18_pseudovideo_full/protocol/protocol_summary.json,protocol_or_split,counts.train,int,2075
work/isic18_pseudovideo_full/protocol/protocol_summary.json,protocol_or_split,counts.validation,int,259
work/isic18_pseudovideo_full/protocol/protocol_summary.json,protocol_or_split,data_root,str,/Data_8TB/lht/PseudoVideo-SAM3-X3-B7/work/isic18_1pct_protocol/data
work/isic18_pseudovideo_full/protocol/protocol_summary.json,protocol_or_split,dataset,str,ISIC18
work/isic18_pseudovideo_full/protocol/protocol_summary.json,protocol_or_split,labeled_list,str,/Data_8TB/lht/PseudoVideo-SAM3-X3-B7/work/isic18_1pct_protocol/isic18_train1pct_labeled_images.txt
work/isic18_pseudovideo_full/protocol/protocol_summary.json,protocol_or_split,labeled_sha256,str,f14aeba3c6f62a69ea00e98ce623d8af1a2d710143a28090ef2ca6e0e73c489f
work/isic18_pseudovideo_full/protocol/protocol_summary.json,protocol_or_split,path_mapping,str,source labeled jpg paths mapped to prepared split-relative png metadata by filename stem
work/isic18_pseudovideo_full/protocol/protocol_summary.json,protocol_or_split,support_count,int,21
work/isic18_pseudovideo_full/protocol/protocol_summary.json,protocol_or_split,support_source_counts.ISIC18,int,21
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,name,str,T22 Pseudo-Video-Aware SAM3 Adaptation with Mutual Student Learning
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,t21_root,str,/Data_8TB/lht/PseudoVideo-SAM3-X3-B7/work/isic18_pseudovideo_full/t21_dynamic_pseudovideo
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,principle,str,pseudo labels are supervision only and can never become anchors
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,tau_multi,float,0.9
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,tau_return,float,0.95
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,anchor_count,int,21
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,pseudo_count,int,974
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,route_type_counts.two_bridges,int,336
work/isic18_pseudovideo_full/pseudo1522/protocol/protocol.json,protocol_or_split,route_type_counts.one_bridge,int,363
