scope,feature,beneficial_n,dangerous_n,beneficial_mean,dangerous_mean,difference_dangerous_minus_beneficial,mann_whitney_u_p_value,cliffs_delta_beneficial_minus_dangerous
all_physical_switch_candidates,delta_mask_area_ratio,101,96,0.006732751827428837,-0.13525072733561197,-0.1419834791630408,5.9896946024827484e-24,0.8327145214521452
all_physical_switch_candidates,delta_trace_area_final,101,96,0.006732751827428837,-0.13525072733561197,-0.1419834791630408,5.9896946024827484e-24,0.8327145214521452
all_physical_switch_candidates,q_model,101,96,0.7968487699717858,0.2649062602819994,-0.5319425096897864,1.0716573459353657e-22,0.7997112211221122
all_physical_switch_candidates,student_disagreement,101,96,0.2031512300282142,0.7350937397180006,0.5319425096897864,1.0716573459353657e-22,-0.7997112211221122
all_physical_switch_candidates,b7,101,96,0.82140158102397,0.30608501757249196,-0.515316563451478,3.1496492371521108e-22,0.7995049504950495
all_physical_switch_candidates,mask_area_ratio,101,96,0.14749749816290222,0.02823019027709961,-0.11926730788580261,2.7900735341200773e-21,0.7728960396039604
all_physical_switch_candidates,trace_area_final,101,96,0.14749749816290222,0.02823019027709961,-0.11926730788580261,2.7900735341200773e-21,0.7728960396039604
all_physical_switch_candidates,peer_disagreement,101,96,0.15193965837584242,0.6099383561474983,0.4579986977716558,1.4954860374583684e-19,-0.7458745874587459
all_physical_switch_candidates,q_multi,101,96,0.8480603416241574,0.39006164385250175,-0.4579986977716557,1.4954860374583684e-19,0.7458745874587459
all_physical_switch_candidates,delta_final_candidate_count,101,96,0.0,-0.5729166666666666,-0.5729166666666666,4.0585186793136828e-19,0.5729166666666666
all_physical_switch_candidates,delta_trace_candidate_count_final,101,96,0.0,-0.5729166666666666,-0.5729166666666666,4.0585186793136828e-19,0.5729166666666666
all_physical_switch_candidates,final_candidate_count,101,96,1.0,0.4270833333333333,-0.5729166666666667,4.0585186793136828e-19,0.5729166666666666
all_physical_switch_candidates,trace_candidate_count_final,101,96,1.0,0.4270833333333333,-0.5729166666666667,4.0585186793136828e-19,0.5729166666666666
all_physical_switch_candidates,delta_trace_empty_count,101,96,0.0,0.65625,0.65625,6.183489310822923e-19,-0.5729166666666666
all_physical_switch_candidates,trace_empty_count,101,96,0.0,0.65625,0.65625,6.183489310822923e-19,-0.5729166666666666
all_physical_switch_candidates,delta_trace_area_max,101,96,-0.020299477152305075,-0.18762985865275064,-0.16733038150044557,9.897310030109662e-19,0.7290635313531353
all_physical_switch_candidates,delta_cycle_candidate_count,101,96,-0.009900990099009901,-0.5625,-0.5525990099009901,6.788184745226474e-18,0.5525990099009901
all_physical_switch_candidates,cycle_candidate_count,101,96,0.9801980198019802,0.4270833333333333,-0.5531146864686469,1.4126578517201693e-17,0.5531146864686468
all_physical_switch_candidates,trace_area_max,101,96,0.2438801680461015,0.09987656275431316,-0.14400360529178835,9.414842513031239e-17,0.684302805280528
all_physical_switch_candidates,delta_trace_area_span,101,96,-0.0033345741800742575,-0.14926385879516602,-0.14592928461509175,1.1512043869094598e-15,0.6608910891089109
all_physical_switch_candidates,trace_area_min,101,96,0.031922444258586015,0.012668132781982422,-0.019254311476603593,6.544767824297887e-14,0.6075701320132013
all_physical_switch_candidates,delta_abs_q_return_minus_q_model,101,96,-0.020180282109018666,-0.17851983245902722,-0.15833955035000855,3.0016305815409323e-13,0.601897689768977
all_physical_switch_candidates,trace_component_final,101,96,3.772277227722772,2.5729166666666665,-1.1993605610561056,4.585965207958276e-13,0.5728135313531353
all_physical_switch_candidates,delta_abs_q_return_minus_q_multi,101,96,0.00996177038254875,-0.10583515420312618,-0.11579692458567493,1.1453375023947246e-12,0.5868399339933993
all_physical_switch_candidates,delta_q_return_minus_trace_adjacent_dice_min,101,96,-0.029840508604988682,-0.4812154532126969,-0.4513749446077082,1.1874707382945587e-12,0.5864273927392739
all_physical_switch_candidates,delta_trace_area_min,101,96,-0.016964902972230817,-0.03836599985758463,-0.021401096885353816,2.0660692085934342e-12,0.574773102310231
all_physical_switch_candidates,delta_q_return_minus_q_multi,101,96,-0.0007919075930718308,-0.22390558997547652,-0.2231136823824047,5.135127878824982e-12,0.5695132013201321
all_physical_switch_candidates,baseline_peer_disagreement,101,96,0.12983960346670598,0.2890031067012626,0.15916350323455664,7.838672233822958e-12,-0.5641501650165016
all_physical_switch_candidates,baseline_q_multi,101,96,0.870160396533294,0.7109968932987375,-0.15916350323455652,7.838672233822958e-12,0.5641501650165016
all_physical_switch_candidates,trace_area_span,101,96,0.21195772378751548,0.08720842997233073,-0.12474929381518475,9.121462622549799e-12,0.5618811881188119
all_physical_switch_candidates,trace_adjacent_dice_mean,101,96,0.27610114024729526,0.12258264540624464,-0.15351849484105062,1.89263780360923e-11,0.5500206270627063
all_physical_switch_candidates,baseline_abs_q_return_minus_q_multi,101,96,0.11797254393753716,0.2645508443716396,0.14657830043410247,2.3676059789480327e-11,-0.5509488448844885
all_physical_switch_candidates,delta_forward_sam_score,101,96,0.0076846444960868,-0.5621027573943138,-0.5697874018904006,2.502767488874741e-11,0.5110354785478548
all_physical_switch_candidates,delta_trace_sam_score_final,101,96,0.0076846444960868,-0.5621027573943138,-0.5697874018904006,2.502767488874741e-11,0.5110354785478548
all_physical_switch_candidates,delta_trace_sam_score_min,101,96,0.0076846444960868,-0.5621027573943138,-0.5697874018904006,2.502767488874741e-11,0.5110354785478548
all_physical_switch_candidates,delta_trace_sam_score_mean,101,96,0.0076846444960868,-0.25544557729735967,-0.2631302217934465,3.889176855423465e-11,0.5110354785478548
all_physical_switch_candidates,baseline_q_return_minus_q_multi,101,96,0.08946162186335331,0.2448007673234771,0.15533914546012378,4.076144810755808e-11,-0.5443481848184818
all_physical_switch_candidates,forward_sam_score,101,96,0.9794524158581649,0.41854796434442204,-0.5609044515137429,4.691934260942683e-11,0.49659653465346537
all_physical_switch_candidates,trace_sam_score_final,101,96,0.9794524158581649,0.41854796434442204,-0.5609044515137429,4.691934260942683e-11,0.49659653465346537
all_physical_switch_candidates,trace_sam_score_min,101,96,0.9794524158581649,0.41854796434442204,-0.5609044515137429,4.691934260942683e-11,0.49659653465346537
all_physical_switch_candidates,q_cycle,101,96,0.9367300558944389,0.41095682120050236,-0.5257732346939366,4.728070173401463e-11,0.5363036303630363
all_physical_switch_candidates,q_return,101,96,0.9367300558944389,0.41095682120050236,-0.5257732346939366,4.728070173401463e-11,0.5363036303630363
