split,max_bridge,n_targets,selected_dice,oracle_dice,oracle_gap,selection_accuracy,spearman_score_dice,dominated_candidate_robustness,duplicate_robustness,selected_route_counts
train,2,100,0.7854730680416544,0.8106547513719533,0.02518168333029891,0.35,0.1899762250278268,1.0,1.0,"{""bridge_1"": 11, ""bridge_2"": 89}"
train,3,100,0.7927226675136899,0.8227813796128268,0.030058712099136926,0.25,0.2273814057632335,1.0,1.0,"{""bridge_1"": 6, ""bridge_2"": 9, ""bridge_3"": 85}"
eval,2,100,0.7983143890059894,0.8374410046382654,0.03912661563227601,0.35,0.15629661327989408,1.0,1.0,"{""bridge_1"": 12, ""bridge_2"": 87, ""direct"": 1}"
eval,3,100,0.8264781609233453,0.8735427985358528,0.04706463761250759,0.4,0.1804603500062236,1.0,1.0,"{""bridge_1"": 4, ""bridge_2"": 10, ""bridge_3"": 85, ""direct"": 1}"
eval,4,100,0.8543553024201259,0.8882787019067888,0.033923399486662904,0.32,0.19793761423326298,1.0,1.0,"{""bridge_1"": 4, ""bridge_2"": 5, ""bridge_3"": 8, ""bridge_4"": 83}"
eval,5,100,0.84934056457987,0.8893803548171851,0.04003979023731517,0.19,0.20680128746087825,1.0,1.0,"{""bridge_1"": 3, ""bridge_2"": 4, ""bridge_4"": 7, ""bridge_5"": 86}"
eval,6,100,0.8400562708067904,0.8971560945206174,0.057099823713827075,0.14,0.20851866853267775,1.0,1.0,"{""bridge_1"": 3, ""bridge_2"": 3, ""bridge_4"": 1, ""bridge_5"": 2, ""bridge_6"": 91}"
eval,7,100,0.8396264975064942,0.8972022003329062,0.05757570282641197,0.15,0.4234104630133876,1.0,1.0,"{""bridge_1"": 3, ""bridge_2"": 3, ""bridge_4"": 1, ""bridge_5"": 2, ""bridge_6"": 77, ""bridge_7"": 14}"
