setting,mean_delta_best_vs_b0,median_delta_best_vs_b0,delta_ge_0_01,delta_ge_0_03,delta_ge_0_05,delta_lt_0
base,0.04892440524203175,0.007677514200226665,115/260,61/260,42/260,64/260
lora_epoch27,0.017000516918711912,0.0018697656735028878,58/260,29/260,16/260,71/260
