student,iteration,validation_dice,test_dice_256,test_dice_original_size,note
S2,12000,0.8505887648649707,0.8483414130540559,,complete
S3,26600,0.8520719688384748,0.8548721257324698,,complete
X3_best,22400,0.8691817642919956,0.8593771496996625,,complete
X3_final,40000,0.8648778132111233,0.8644590101163069,,complete
X4_best,24000,0.8707898054604148,0.8704142092801437,0.8701767457620935,complete
X4_final,40000,0.8673747393420984,,,final checkpoint test not separately evaluated
