experiment,n_targets,selected_dice,oracle_dice,oracle_gap,selection_accuracy,spearman,failure_auroc,histogram
anchor_conditioned_target_pooling,100,0.8729381746757712,0.8989685813713383,0.02603040669556711,0.18,0.5977782366390965,0.9899522091302914,"{""anchor_conditioned_target_pooling:bridge_1"": 4, ""anchor_conditioned_target_pooling:bridge_2"": 12, ""anchor_conditioned_target_pooling:bridge_3"": 11, ""anchor_conditioned_target_pooling:bridge_4"": 21, ""anchor_conditioned_target_pooling:bridge_5"": 23, ""anchor_conditioned_target_pooling:bridge_6"": 23, ""anchor_conditioned_target_pooling:direct"": 6}"
anchor_conditioned_patch_correspondence,100,0.8479644316594268,0.8879970678100453,0.04003263615061847,0.12,0.6149269593284401,0.9876565476660166,"{""anchor_conditioned_patch_correspondence:bridge_1"": 12, ""anchor_conditioned_patch_correspondence:bridge_2"": 16, ""anchor_conditioned_patch_correspondence:bridge_3"": 7, ""anchor_conditioned_patch_correspondence:bridge_4"": 16, ""anchor_conditioned_patch_correspondence:bridge_5"": 17, ""anchor_conditioned_patch_correspondence:bridge_6"": 21, ""anchor_conditioned_patch_correspondence:direct"": 11}"
target_pooling+patch_correspondence,100,0.8726392900210733,0.9039035411373288,0.031264251116255526,0.13,0.6229414077350098,0.9898665659617322,"{""anchor_conditioned_patch_correspondence:bridge_1"": 3, ""anchor_conditioned_patch_correspondence:bridge_2"": 12, ""anchor_conditioned_patch_correspondence:bridge_3"": 4, ""anchor_conditioned_patch_correspondence:bridge_4"": 9, ""anchor_conditioned_patch_correspondence:bridge_5"": 6, ""anchor_conditioned_patch_correspondence:bridge_6"": 17, ""anchor_conditioned_patch_correspondence:direct"": 8, ""anchor_conditioned_target_pooling:bridge_1"": 2, ""anchor_conditioned_target_pooling:bridge_2"": 5, ""anchor_conditioned_target_pooling:bridge_3"": 5, ""anchor_conditioned_target_pooling:bridge_4"": 5, ""anchor_conditioned_target_pooling:bridge_5"": 10, ""anchor_conditioned_target_pooling:bridge_6"": 12, ""anchor_conditioned_target_pooling:direct"": 2}"
