split,max_bridge,n_targets,selected_dice,oracle_dice,oracle_gap,selection_accuracy,spearman_score_dice,dominated_candidate_robustness,duplicate_robustness,selected_route_counts
train,2,100,0.7963289968212522,0.8233564366061528,0.02702743978490048,0.52,0.27811970616338566,1.0,1.0,"{""bridge_2"": 99, ""direct"": 1}"
train,3,100,0.7710290966425437,0.8301450926532824,0.05911599601073874,0.41,0.27142695118371074,1.0,1.0,"{""bridge_2"": 3, ""bridge_3"": 96, ""direct"": 1}"
eval,2,100,0.8309243790268512,0.8523192187605292,0.021394839733678027,0.48,0.2913837227112523,1.0,1.0,"{""bridge_2"": 98, ""direct"": 2}"
eval,3,100,0.8511953687471976,0.8786971771327944,0.02750180838559686,0.34,0.2657919457501042,1.0,1.0,"{""bridge_2"": 1, ""bridge_3"": 98, ""direct"": 1}"
eval,4,100,0.8467172035318907,0.8851416696165794,0.038424466084688615,0.26,0.2452187558359518,1.0,1.0,"{""bridge_3"": 1, ""bridge_4"": 99}"
eval,5,100,0.8540778308333031,0.8868637140827046,0.03278588324940145,0.19,0.22810860789975923,1.0,1.0,"{""bridge_3"": 1, ""bridge_4"": 1, ""bridge_5"": 98}"
eval,6,100,0.854626650972394,0.8989685813713383,0.044341930398944386,0.23,0.20885881658244024,1.0,1.0,"{""bridge_6"": 100}"
eval,7,100,0.8544372440383379,0.8989685813713383,0.04453133733300049,0.22,0.4542834258582322,1.0,1.0,"{""bridge_6"": 95, ""bridge_7"": 5}"
