group,experiment,split,metric,value,resolution_or_scope,source,notes
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_cls/propagation_quality_test_lora_p491_e20,,bridge_6.dice,0.8448307321436599,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_cls/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_cond/propagation_quality_test_lora_p491_e20,,bridge_3.dice,0.7720139797917989,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_cond/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_cond/propagation_quality_test_lora_p491_e20,,bridge_4.dice,0.807254058297522,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_cond/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_cond/propagation_quality_test_lora_p491_e20,,bridge_5.dice,0.8637282919974472,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_cond/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_cond/propagation_quality_test_lora_p491_e20,,bridge_6.dice,0.8503593391502189,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_cond/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_pooled/propagation_quality_test_lora_p491_e20,,bridge_3.dice,0.7778043779585687,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_pooled/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_pooled/propagation_quality_test_lora_p491_e20,,bridge_4.dice,0.825333480697447,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_pooled/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_pooled/propagation_quality_test_lora_p491_e20,,bridge_5.dice,0.818539113730405,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_pooled/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_pooled/propagation_quality_test_lora_p491_e20,,bridge_6.dice,0.8015339060682913,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_patch_correspondence__knn_pooled/propagation_quality_test_lora_p491_e20/summary.json,
route_or_bridge,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling/propagation_quality_test_lora_p491_e20,,bridge_3.dice,0.7700668445988911,varies; see source path,work/clinicdb_external_kvasir8/stage1_feature_knn_vitb256/anchor_conditioned_target_pooling/propagation_quality_test_lora_p491_e20/summary.json,
