path,root,family_or_bridge,dice,kind
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence__knn_pooled/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence__knn_pooled/eval_lora_p491_e20,bridge_5,0.9066072179761094,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_pyramid_contrast/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_pyramid_contrast/eval_lora_p491_e20,bridge_3,0.9061242851170558,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence__knn_pooled/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence__knn_pooled/eval_lora_p491_e20,bridge_4,0.9060970487811262,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb050/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb050/eval_lora_p491_e20,bridge_5,0.9059804804567726,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb025/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb025/eval_lora_p491_e20,bridge_6,0.9059339964288512,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20,bridge_4,0.9046784282576021,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr/eval_lora_p491_e20,bridge_3,0.9039513306531433,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s256/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s256/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20,bridge_5,0.9036259272552423,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr/eval_lora_p491_e20,bridge_4,0.9032946941121807,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_target_pooling__knn_cond/eval_lora_p491_e20,bridge_2,0.9031631539662945,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb025/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb025/eval_lora_p491_e20,bridge_5,0.903042909115129,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008/sam3enc_anchor_conditioned_patch_correspondence/eval_lora_p491_e20,bridge_3,0.9029002609296469,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008_lesion_knn/sam3enc_lesion__gt_lesion/eval_base_no_ft_b7_forward/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_s1008_lesion_knn/sam3enc_lesion__gt_lesion/eval_base_no_ft_b7_forward,bridge_6,0.9027928350644002,route_or_propagation
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb075/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_imr__tb075/eval_lora_p491_e20,bridge_6,0.9027845456804361,lora_or_lora_eval
work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_pyramid/eval_lora_p491_e20/route_family_summary.json,work/kvasir_1pct_anchors/stage1_feature_knn_sam3enc_imr_s256/sam3enc_pyramid/eval_lora_p491_e20,bridge_5,0.9027094562126132,lora_or_lora_eval
