setting,target_id,b0,best_b1_b6,best_bridge,delta_best_vs_b0,b6,delta_b6_vs_b0,b1,b2,b3,b4,b5
lora_epoch27,ISIC_0000000,0.9576416036283021,0.9585052417991208,4,0.0008636381708186924,0.9579413954117886,0.0002997917834864916,0.9583291053610689,0.9578179726231366,0.957588681288925,0.9585052417991208,0.9579590248523914
lora_epoch27,ISIC_0000015,0.9447601567187887,0.9445955012535754,4,-0.00016465546521327035,0.9442639163605538,-0.0004962403582348118,0.940863834461255,0.9413056569019872,0.939569213299741,0.9445955012535754,0.9421300392878632
lora_epoch27,ISIC_0000018,0.9628839456593354,0.9657148254258099,5,0.002830879766474448,0.9648361326036359,0.001952186944300438,0.9624404314020567,0.9636706473915776,0.9622475856014048,0.9631350876091189,0.9657148254258099
lora_epoch27,ISIC_0000025,0.8811198503170369,0.886743616649178,2,0.005623766332141122,0.8824491215863628,0.0013292712693259157,0.8852665014485671,0.886743616649178,0.8860078277886497,0.8843096234309623,0.8838959138885986
lora_epoch27,ISIC_0000040,0.7702683813251328,0.7621359223300971,1,-0.008132458995035674,0.7565371024734983,-0.013731278851634499,0.7621359223300971,0.7593865679534638,0.7587739409544637,0.7578100180027534,0.7572397231247351
lora_epoch27,ISIC_0000047,0.9013673531706986,0.9024472917090367,6,0.0010799385383380988,0.9024472917090367,0.0010799385383380988,0.9008825526137135,0.9014046278075593,0.9017027338715148,0.902037909870808,0.9024100877936341
lora_epoch27,ISIC_0000054,0.9767240133005638,0.9764343891402715,3,-0.0002896241602923233,0.9760706657495565,-0.0006533475510073217,0.976212923344695,0.9763819459537781,0.9764343891402715,0.976051592333611,0.976231884057971
lora_epoch27,ISIC_0000061,0.9711284807034685,0.9706902447364565,6,-0.00043823596701197953,0.9706902447364565,-0.00043823596701197953,0.9695856597120188,0.9696717499326855,0.9701638542430913,0.97060763761636,0.9705292996432237
lora_epoch27,ISIC_0000065,0.9884322949025177,0.9887002307282731,3,0.0002679358257553499,0.9886484568996098,0.00021616199709206807,0.988581908536946,0.9884982703054316,0.9887002307282731,0.9884724521163396,0.9885933806146572
lora_epoch27,ISIC_0000069,0.97143537253035,0.973274735716831,4,0.0018393631864810356,0.8766075034541396,-0.09482786907621032,0.9680387119899636,0.9716189682870232,0.9719892952720784,0.973274735716831,0.8767021276595744
lora_epoch27,ISIC_0000072,0.9222977475676396,0.9308475472696021,6,0.008549799701962457,0.9308475472696021,0.008549799701962457,0.9282258598979389,0.9274439580846267,0.9282258598979389,0.9304940149461014,0.9300694674164737
lora_epoch27,ISIC_0000078,0.9476231141474524,0.9479678268915938,6,0.0003447127441413844,0.9479678268915938,0.0003447127441413844,0.9476231141474524,0.9442538593481989,0.9462948434491121,0.9470533741894107,0.9473534230961032
lora_epoch27,ISIC_0000091,0.7128736359323106,0.7217206372135949,2,0.00884700128128435,0.7189646908451829,0.006091054912872318,0.7142290609137056,0.7217206372135949,0.7184070867084315,0.7188660411259733,0.715528542485997
lora_epoch27,ISIC_0000109,0.9478947594317353,0.9392400261333221,1,-0.008654733298413153,0.9379173776569972,-0.009977381774738059,0.9392400261333221,0.9375551911189605,0.9357363153809034,0.9337514372321521,0.9380672605134037
lora_epoch27,ISIC_0000110,0.8989874830582795,0.8952,5,-0.0037874830582794727,0.8888888888888888,-0.010098594169390629,0.8761393229166666,0.85971430930559,0.8913863691097375,0.8721006207121855,0.8952
lora_epoch27,ISIC_0000113,0.9622788761706556,0.956092446153174,5,-0.006186430017481537,0.9536638876700307,-0.00861498850062481,0.9501834416301993,0.9513204225352113,0.9465851714057932,0.9489953632148377,0.956092446153174
lora_epoch27,ISIC_0000131,0.9834388844289834,0.9895903983958008,6,0.006151513966817346,0.9895903983958008,0.006151513966817346,0.9885193164713868,0.9874039030159669,0.988689720343738,0.9880579367425362,0.9886585149743045
lora_epoch27,ISIC_0000143,0.8415760182140146,0.8388100454011493,3,-0.0027659728128652805,0.8372788596156294,-0.004297158598385198,0.8385848008884658,0.8387301587301588,0.8388100454011493,0.8367178050798905,0.8374312160055981
lora_epoch27,ISIC_0000154,0.9714329014169887,0.9751053236307928,3,0.0036724222138041496,0.9724268894796809,0.0009939880626922415,0.9734553775743707,0.9747552019583844,0.9751053236307928,0.9735200121747071,0.9742767727654378
lora_epoch27,ISIC_0000164,0.7417103687492258,0.7500309725376832,6,0.008320603788457448,0.7500309725376832,0.008320603788457448,0.6799547742359034,0.7212227352332431,0.7274161424542999,0.7232886421357274,0.7424477852890727
lora_epoch27,ISIC_0000211,0.8729637734014102,0.8750151680621284,5,0.002051394660718242,0.8748786407766991,0.0019148673752888978,0.8722097196034304,0.8715920155793574,0.8725525963760185,0.8730322737494682,0.8750151680621284
lora_epoch27,ISIC_0000217,0.9527821183504314,0.9518108432420639,5,-0.0009712751083674753,0.9517965500784074,-0.0009855682720240067,0.9513874684666258,0.9514308718970482,0.9516078420672061,0.9516498500136351,0.9518108432420639
lora_epoch27,ISIC_0000222,0.9818771350819292,0.9829186242097326,5,0.001041489127803441,0.9828935923456075,0.001016457263678272,0.9819643349439197,0.9822014459510467,0.9824871954846853,0.9825324976787372,0.9829186242097326
lora_epoch27,ISIC_0000246,0.9609340057681334,0.9616598588934274,1,0.0007258531252940514,0.9610861696674071,0.00015216389927374951,0.9616598588934274,0.9616291333209256,0.9615444254923244,0.9612715955481738,0.9614304117710969
lora_epoch27,ISIC_0000250,0.9738183445635148,0.9755397108338285,6,0.0017213662703137178,0.9755397108338285,0.0017213662703137178,0.9734359050962232,0.9741653418124007,0.9744124289578835,0.9745550232107837,0.9750346740638003
lora_epoch27,ISIC_0000276,0.8103876265037235,0.9712647901815242,5,0.1608771636778007,0.9711566725455615,0.16076904604183795,0.8097502972651606,0.8091554248449587,0.8066010546316261,0.9708081494681535,0.9712647901815242
lora_epoch27,ISIC_0000292,0.9421036224203504,0.9403867548344355,4,-0.0017168675859149385,0.9385403489435252,-0.0035632734768251684,0.9372498337453103,0.9390141603335378,0.9381766238973537,0.9403867548344355,0.9390703438951414
lora_epoch27,ISIC_0000295,0.9666102890937398,0.9626860630080843,1,-0.003924226085655458,0.953482553114053,-0.01312773597968675,0.9626860630080843,0.9549281372493325,0.9536449448424883,0.9536473559086824,0.9527875496658583
lora_epoch27,ISIC_0000301,0.9777866829388245,0.9772561730643164,3,-0.0005305098745080894,0.9741729354461499,-0.003613747492674624,0.9771599172115684,0.9770148438211456,0.9772561730643164,0.9767399550627212,0.9767556109498813
lora_epoch27,ISIC_0000306,0.9325650874946649,0.9325231851614967,3,-4.1902333168253314e-05,0.9313147410358565,-0.0012503464588083935,0.9318920070291283,0.9317226331754563,0.9325231851614967,0.9320915380521554,0.931703428115865
lora_epoch27,ISIC_0000313,0.9104368755014222,0.9146323743097937,3,0.004195498808371556,0.9127365356622998,0.002299660160877681,0.9091241009164263,0.9132506456188848,0.9146323743097937,0.9136457840962804,0.9129343278151719
lora_epoch27,ISIC_0000322,0.9409988077891112,0.9430073830137569,4,0.0020085752246457034,0.9417851142697139,0.0007863064806027387,0.940756716457651,0.9404104288420997,0.9419557352628218,0.9430073830137569,0.9419935075302006
lora_epoch27,ISIC_0000326,0.901063137339987,0.906599039551071,6,0.005535902211084021,0.906599039551071,0.005535902211084021,0.9001682861951034,0.9015993494171862,0.9030371934383629,0.9032642234612678,0.9052404105888708
lora_epoch27,ISIC_0000378,0.8861368106651125,0.8849454262585993,6,-0.0011913844065132295,0.8849454262585993,-0.0011913844065132295,0.8847556528081693,0.884836992196047,0.8847556528081693,0.8845929384301138,0.8844573068411197
